# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.19 183.7313228 9.268467904 524.6636452 524.6636452 854.6470607 1015.788372 0.09680106103 161.1405011 339.239028 3.01124055 -993.6989491
0.195 188.819164 9.955832142 516.9108667 516.9108667 855.190875 1019.358954 0.09973436303 164.1672841 341.8182386 3.005379714 -997.6866133
0.2 193.9250204 10.67385019 509.2978987 509.2978987 855.8429991 1022.994353 0.102639186 167.1505725 344.3439861 2.999564225 -1002.068448
0.205 199.0492145 11.42305108 501.8238149 501.8238149 856.6021949 1026.693979 0.1055139436 170.0910162 346.8187876 2.993750255 -1006.817232
0.21 204.1920662 12.20395047 494.487666 494.487666 857.4672093 1030.457222 0.1083571822 172.9892581 349.245008 2.987896069 -1011.908025
0.215 209.3538917 13.01704831 487.2884728 487.2884728 858.4367639 1034.283442 0.1111675756 175.8459357 351.6248717 2.98196231 -1017.317904
0.22 214.5350044 13.86282639 480.2252209 480.2252209 859.5095461 1038.171958 0.1139439206 178.6616814 353.9604733 2.975912246 -1023.025728
0.225 219.7357139 14.74174605 473.2968551 473.2968551 860.6842013 1042.122044 0.1166851333 181.4371235 356.253787 2.969711977 -1029.011942
0.23 224.9563262 15.65424587 466.502275 466.502275 861.9593262 1046.132922 0.1193902442 184.1728869 358.5066752 2.963330595 -1035.258403
0.235 230.1971431 16.60073957 459.8403309 459.8403309 863.333463 1050.203756 0.122058395 186.8695943 360.7208961 2.95674031 -1041.74823
0.24 235.4584622 17.58161395 453.3098209 453.3098209 864.8050957 1054.333651 0.1246888345 189.527866 362.8981105 2.949916539 -1048.465674
0.245 240.7405764 18.59722706 446.9094881 446.9094881 866.3726463 1058.521647 0.1272809146 192.1483211 365.0398884 2.942837948 -1055.396003
0.25 246.0437738 19.64790653 440.6380189 440.6380189 868.0344731 1062.766721 0.1298340869 194.7315777 367.1477143 2.935486465 -1062.525402
0.255 251.368337 20.73394811 434.4940417 434.4940417 869.7888695 1067.067785 0.1323478989 197.2782533 369.2229927 2.927847252 -1069.840886
0.26 256.714543 21.85561442 428.4761262 428.4761262 871.6340639 1071.423683 0.13482199 199.7889651 371.2670528 2.91990865 -1077.330223
0.265 262.0826632 23.01313399 422.5827839 422.5827839 873.568221 1075.833197 0.1372560882 202.2643302 373.2811528 2.911662087 -1084.981872
0.27 267.4729622 24.20670042 416.8124685 416.8124685 875.5894435 1080.295047 0.1396500055 204.7049655 375.2664842 2.903101964 -1092.784917
