# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.485 511.8486885 101.1586016 218.5975734 218.5975734 1029.069825 1263.932557 0.1174132449 234.8621758 460.072758 2.422959348 -1413.300771
0.49 518.1813242 103.6873451 216.6224573 216.6224573 1033.220424 1269.119733 0.1177607222 235.8987559 461.5877698 2.407006117 -1419.018247
0.495 524.5398656 106.2360388 214.6903616 214.6903616 1037.37019 1274.294756 0.118097755 236.9240151 463.0935008 2.391368687 -1424.711448
0.5 530.9242506 108.8042835 212.7999466 212.7999466 1041.518298 1279.457068 0.1184246798 237.9382217 464.5900948 2.376042147 -1430.37963
0.505 537.3344142 111.3916917 210.9499213 210.9499213 1045.663967 1284.60615 0.1187418235 238.9416368 466.0776915 2.361021381 -1436.022124
0.51 543.7702892 113.9978878 209.139042 209.139042 1049.806465 1289.741524 0.1190495036 239.9345143 467.5564263 2.346301106 -1441.638334
0.515 550.2318059 116.622507 207.36611 207.36611 1053.9451 1294.862743 0.1193480278 240.9171012 469.0264312 2.331875911 -1447.227727
0.52 556.7188924 119.2651957 205.6299703 205.6299703 1058.079223 1299.9694 0.1196376948 241.8896375 470.487834 2.317740284 -1452.789834
0.525 563.231475 121.9256111 203.92951 203.92951 1062.208223 1305.061116 0.1199187935 242.8523563 471.9407595 2.303888644 -1458.324245
0.53 569.7694781 124.6034204 202.2636568 202.2636568 1066.331525 1310.137544 0.1201916039 243.8054842 473.3853289 2.290315361 -1463.830602
0.535 576.3328244 127.2983011 200.6313771 200.6313771 1070.448591 1315.198365 0.1204563972 244.7492413 474.8216604 2.277014784 -1469.308599
0.54 582.9214352 130.0099403 199.0316748 199.0316748 1074.558915 1320.243288 0.1207134354 245.6838412 476.2498691 2.263981254 -1474.757979
0.545 589.5352304 132.7380344 197.4635901 197.4635901 1078.662025 1325.272045 0.1209629722 246.6094914 477.6700673 2.251209124 -1480.178527
0.55 596.1741283 135.4822893 195.9261974 195.9261974 1082.757475 1330.284396 0.1212052527 247.5263934 479.0823644 2.238692776 -1485.570069
0.555 602.8380466 138.2424194 194.4186047 194.4186047 1086.844851 1335.280119 0.1214405139 248.4347426 480.4868674 2.226426628 -1490.932471
0.56 609.5269015 141.0181479 192.9399518 192.9399518 1090.923764 1340.259017 0.1216689849 249.334729 481.8836806 2.214405151 -1496.265631
0.565 616.2406084 143.8092061 191.4894094 191.4894094 1094.993852 1345.220911 0.1218908867 250.2265367 483.272906 2.202622876 -1501.569483
0.57 622.979082 146.6153334 190.0661776 190.0661776 1099.054777 1350.165641 0.1221064331 251.1103445 484.6546431 2.191074401 -1506.84399
0.575 629.742236 149.436277 188.6694849 188.6694849 1103.106222 1355.093066 0.1223158305 251.9863261 486.0289893 2.179754402 -1512.089142
0.58 636.5299836 152.2717915 187.2985871 187.2985871 1107.147894 1360.00306 0.1225192781 252.8546499 487.3960398 2.168657634 -1517.304955
0.585 643.3422374 155.1216387 185.9527661 185.9527661 1111.179521 1364.895515 0.1227169681 253.7154794 488.7558878 2.15777894 -1522.49147
0.59 650.1789093 157.9855876 184.6313289 184.6313289 1115.200848 1369.770334 0.1229090864 254.5689733 490.1086244 2.147113253 -1527.648748
0.595 657.0399112 160.8634137 183.3336068 183.3336068 1119.21164 1374.627437 0.123095812 255.4152857 491.4543388 2.136655599 -1532.776872
0.6 663.9251541 163.7548992 182.0589542 182.0589542 1123.21168 1379.466755 0.1232773181 256.2545663 492.7931185 2.126401102 -1537.87594
0.605 670.834549 166.6598325 180.8067478 180.8067478 1127.200766 1384.288234 0.1234537714 257.0869602 494.1250489 2.116344982 -1542.946071
0.61 677.7680066 169.5780082 179.5763857 179.5763857 1131.178713 1389.091828 0.1236253332 257.9126084 495.450214 2.10648256 -1547.987395
0.615 684.7254374 172.5092267 178.3672864 178.3672864 1135.14535 1393.877503 0.1237921588 258.7316478 496.7686958 2.096809257 -1553.000059
0.62 691.7067517 175.4532941 177.1788885 177.1788885 1139.100521 1398.645235 0.1239543984 259.5442115 498.0805749 2.087320595 -1557.98422
0.625 698.7118598 178.410022 176.0106493 176.0106493 1143.044081 1403.395011 0.1241121968 260.3504286 499.3859303 2.078012197 -1562.940049
