# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.19 181.8864083 4.695861721 510.340069 510.340069 848.0091303 982.0119475 0.05566706209 134.0018429 344.3127063 4.271005317 -1192.870158
0.195 186.8034886 5.241112856 500.6718056 500.6718056 849.1586688 984.84411 0.05630869878 135.684479 347.2282019 4.244749689 -1198.203661
0.2 191.7350912 5.829176547 491.0807925 491.0807925 850.4243188 987.8213385 0.05700494358 137.3960695 350.0848155 4.221686901 -1202.977624
0.205 196.6819488 6.462116385 481.5718467 481.5718467 851.8094874 990.9466593 0.05775458353 139.1362336 352.8846508 4.201715096 -1207.233328
0.21 201.6448101 7.142099232 472.1502461 472.1502461 853.3183064 994.2233776 0.05855602643 140.9041446 355.6297314 4.184638356 -1211.01503
0.215 206.6244408 7.871390476 462.8216995 462.8216995 854.9555423 997.655029 0.0594073266 142.6985718 358.3220115 4.170189046 -1214.369356
0.22 211.6216248 8.652345967 453.5923088 453.5923088 856.7264986 1001.245321 0.06030620648 144.5179195 360.9633845 4.158045461 -1217.344705
0.225 216.6371647 9.487400566 444.4685194 444.4685194 858.6369112 1004.998068 0.06125007583 146.3602648 363.5556915 4.147846289 -1219.99067
0.23 221.6718826 10.37905331 435.4570624 435.4570624 860.6928365 1008.917113 0.0622360506 148.2233953 366.1007287 4.139203 -1222.357466
0.235 226.7266194 11.32984934 426.5648852 426.5648852 862.900534 1013.00625 0.06326097292 150.104846 368.6002532 4.131710894 -1224.495379
0.24 231.8022347 12.34235869 417.799073 417.799073 865.266343 1017.269139 0.06432143369 152.0019372 371.0559881 4.124959292 -1226.454231
0.245 236.8996061 13.41915254 409.1667618 409.1667618 867.7965572 1021.709219 0.06541379868 153.9118134 373.4696259 4.118541121 -1228.282853
0.25 242.0196274 14.56277712 400.6750445 400.6750445 870.4972972 1026.329618 0.06653423896 155.8314832 375.8428311 4.11206198 -1230.028587
0.255 247.1632074 15.77572622 392.3308713 392.3308713 873.374385 1031.133073 0.06767876585 157.7578603 378.1772409 4.105148617 -1231.736802
0.26 252.3312671 17.06041286 384.1409488 384.1409488 876.4332235 1036.121846 0.06884327034 159.6878047 380.474465 4.097456675 -1233.450443
0.265 257.5247376 18.41914103 376.1116392 376.1116392 879.6786828 1041.297655 0.07002356641 161.6181646 382.7360843 4.08867749 -1235.209609
0.27 262.7445572 19.85407847 368.2488627 368.2488627 883.1149985 1046.661614 0.07121543748 163.5458169 384.963648 4.078543713 -1237.051177
0.275 267.9916681 21.36723131 360.558008 360.558008 886.7456834 1052.21418 0.07241468461 165.4677073 387.1586705 4.066833554 -1239.008486
0.28 273.267013 22.96042147 353.0438517 353.0438517 890.5734567 1057.955123 0.07361717523 167.3808865 389.3226274 4.053373492 -1241.111072
0.285 278.5715318 24.63526756 345.7104905 345.7104905 894.6001906 1063.883507 0.07481889077 169.2825447 391.456951 4.038039366 -1243.384483
0.29 283.9061578 26.39316991 338.5612884 338.5612884 898.8268785 1069.997682 0.07601597168 171.1700405 393.5630259 4.020755866 -1245.850173
0.295 289.2718144 28.23530001 331.5988398 331.5988398 903.2536221 1076.295303 0.07720475833 173.0409264 395.6421845 4.001494513 -1248.525468
0.3 294.6694116 30.16259478 324.8249493 324.8249493 907.8796396 1082.773355 0.07838182678 174.8929684 397.695703 3.980270309 -1251.423631
0.305 300.0998426 32.17575538 318.2406286 318.2406286 912.7032917 1089.42819 0.07954401812 176.7241596 399.7247979 3.957137316 -1254.553985
0.31 305.5639811 34.27525054 311.8461092 311.8461092 917.7221248 1096.255586 0.08068846109 178.5327299 401.7306234 3.932183432 -1257.922122
0.315 311.0626782 36.46132402 305.6408694 305.6408694 922.932928 1103.250801 0.08181258756 180.3171486 403.7142693 3.905524678 -1261.530171
0.32 316.5967602 38.73400544 299.6236749 299.6236749 928.3318022 1110.408643 0.08291414083 182.0761233 405.6767598 3.877299296 -1265.377106
0.325 322.1670264 41.09312418 293.7926285 293.7926285 933.9142357 1117.72354 0.08399117739 183.8085943 407.6190535 3.84766191 -1269.459101
0.33 327.7742476 43.53832544 288.1452287 288.1452287 939.6751868 1125.189615 0.0850420624 185.5137246 409.5420438 3.816777993 -1273.769898
0.335 333.4191643 46.0690879 282.6784338 282.6784338 945.6091677 1132.800753 0.08606546002 187.1908878 411.4465606 3.784818811 -1278.301187
0.34 339.1024864 48.68474225 277.3887287 277.3887287 951.7103278 1140.550672 0.0870603192 188.8396533 413.3333716 3.751956952 -1283.04298
0.345 344.8248917 51.38449007 272.2721929 272.2721929 957.9725357 1148.432991 0.08802585606 190.4597695 415.2031858 3.718362526 -1287.983972
0.35 350.5870263 54.16742258 267.3245682 267.3245682 964.3894554 1156.441282 0.08896153375 192.0511472 417.0566558 3.684200052 -1293.111878
