# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.01949326517 18.34929019 0.01346297518 0 0 0 0 0 0 0 0 0
0.02418259612 22.76753201 0.02207798929 0 0 0 0 0 0 0 0 0
0.03 28.25169111 0.04038249221 0 0 0 0 0 0 0 0 0
0.03380842391 31.84432029 0.05800486325 0 0 0 0 0 0 0 0 0
0.0364415918 34.32959244 0.07322124624 0 0 0 0 0 0 0 0 0
0.03855758555 36.32759953 0.08742057546 0 0 0 0 0 0 0 0 0
0.04036596235 38.03579739 0.1010288151 0 0 0 0 0 0 0 0 0
0.04194676347 39.52955033 0.1140770883 0 0 0 0 0 0 0 0 0
0.04333105813 40.83803758 0.1264063631 0 0 0 0 0 0 0 0 0
0.04452833431 41.97007601 0.1377576982 0 0 0 0 0 0 0 0 0
0.04553737945 42.9243831 0.1478186614 0 0 0 0 0 0 0 0 0
0.04635071148 43.69375961 0.1562480328 0 0 0 0 0 0 0 0 0
0.04695540641 44.26587182 0.1626806806 0 0 0 0 0 0 0 0 0
0.04732961779 44.61996138 0.1666933088 0 0 0 0 0 0 0 0 0
0.05 47.14769684 0.1979847177 789.5478716 789.5478716 892.0118339 946.9136312 0.01454630985 54.89941919 223.8010974 3.344315364 -1569.616675
0.055 51.88550985 0.2672552208 776.234898 776.234898 888.7804672 948.2320922 0.01679190463 59.44942883 230.8498068 3.299673401 -1448.248536
0.06 56.63021443 0.3498997283 763.1715664 763.1715664 885.7401766 949.6685692 0.01913850764 63.92635031 237.4541598 3.253613632 -1360.981042
0.065 61.38237581 0.4464841578 750.349807 750.349807 882.8779452 951.2132302 0.02157768431 68.33337443 243.6726047 3.208791071 -1294.089781
0.07 66.1425118 0.5574756682 737.7622953 737.7622953 880.1821728 952.8569639 0.02410131375 72.67299451 249.5520038 3.166474988 -1240.858027
0.075 70.91109672 0.6832651518 725.4023756 725.4023756 877.6425808 954.5914916 0.02670158412 76.94721408 255.1306078 3.127244031 -1197.469895
0.08 75.68856566 0.8241876588 713.2639946 713.2639946 875.2501189 956.4094165 0.02937099208 81.15768891 260.4401208 3.091324886 -1161.536143
0.085 80.47531899 0.9805406383 701.3416442 701.3416442 872.9968749 958.3042309 0.03210234323 85.30582553 265.5071729 3.058761614 -1131.454197
0.09 85.27172668 1.152599956 689.6303092 689.6303092 870.875985 960.2702959 0.03488875214 89.39285041 270.354394 3.029502049 -1106.092585
0.095 90.07813264 1.340633719 678.1254228 678.1254228 868.8815475 962.3028038 0.03772364097 93.41985876 275.0012139 3.003442498 -1084.620207
0.1 94.8948587 1.544913974 666.8228248 666.8228248 867.008537 964.3977268 0.04060073649 97.38784911 279.4644674 2.980451013 -1066.407166
0.105 99.72220839 1.765726391 655.7187246 655.7187246 865.2527231 966.5517598 0.04351406536 101.2977479 283.7588613 2.960379522 -1050.963807
0.11 104.5604704 2.003378057 644.8096669 644.8096669 863.6105902 968.7622585 0.04645794782 105.1504267 287.8973378 2.943070133 -1037.901463
0.115 109.4099216 2.258203515 634.0925005 634.0925005 862.0792622 971.0271753 0.04942699003 108.9467146 291.8913623 2.928358431 -1026.906208
0.12 114.2708303 2.530569205 623.5643488 623.5643488 860.65643 973.3449957 0.05241607541 112.687407 295.7511535 2.916075257 -1017.720703
0.125 119.143458 2.820876456 613.2225829 613.2225829 859.3402824 975.7146757 0.05542035517 116.3732713 299.4858691 2.906047788 -1010.131303
0.13 124.0280624 3.129563165 603.0647956 603.0647956 858.1294417 978.1355812 0.05843523839 120.0050515 303.1037573 2.898100333 -1003.958676
0.135 128.9248987 3.457104316 593.0887773 593.0887773 857.0229022 980.6074298 0.06145638188 123.5834711 306.6122815 2.89205507 -999.0508235
0.14 133.8342216 3.80401147 583.2924932 583.2924932 856.0199735 983.1302362 0.06447968004 127.1092355 310.0182239 2.887732827 -995.2778063
0.145 138.7562864 4.17083135 573.6740615 573.6740615 855.1202271 985.7042605 0.06750125499 130.5830336 313.3277714 2.884953956 -992.5276812
0.15 143.6913503 4.558143647 564.2317322 564.2317322 854.3234464 988.3299598 0.07051744701 134.0055391 316.5465885 2.883539285 -990.7033349
0.155 148.6396732 4.966558148 554.9638681 554.9638681 853.6295814 991.0079439 0.0735248055 137.3774122 319.6798786 2.883311162 -989.7199807
0.16 153.6015181 5.396711306 545.8689248 545.8689248 853.0387057 993.7389338 0.07652008051 140.6993002 322.7324364 2.884094535 -989.5031582
0.165 158.5771522 5.849262328 536.9454336 536.9454336 852.5509782 996.5237242 0.07950021487 143.9718392 325.7086923 2.885718068 -989.9871183
0.17 163.5668464 6.324888893 528.1919837 528.1919837 852.1666068 999.3631488 0.08246233701 147.195655 328.6127508 2.888015245 -991.1135067
0.175 168.5708761 6.824282577 519.607206 519.607206 851.8858168 1002.25805 0.08540375438 150.3713646 331.4484237 2.890825445 -992.8302829
0.18 173.5895207 7.348144067 511.1897579 511.1897579 851.7088209 1005.209249 0.08832194755 153.4995775 334.219259 2.893994949 -995.0908244
0.185 178.6230637 7.897178237 502.9383086 502.9383086 851.6357933 1008.217524 0.09121456485 156.580897 336.9285651 2.897377872 -997.8531811
0.19 183.6717923 8.472089169 494.8515258 494.8515258 851.6668468 1011.283587 0.09407941753 159.6159219 339.5794336 2.900836987 -1001.079448
0.195 188.735997 9.073575186 486.9280629 486.9280629 851.8020116 1014.408062 0.09691447544 162.6052477 342.1747572 2.904244434 -1004.73524
0.2 193.8159711 9.70232395 479.1665481 479.1665481 852.0412187 1017.591475 0.09971786302 165.5494681 344.7172474 2.907482299 -1008.78924
0.205 198.9120106 10.35900771 471.5655732 471.5655732 852.384284 1020.834236 0.1024878556 168.4491767 347.2094487 2.910443057 -1013.212822
0.21 204.0244129 11.04427871 464.1236856 464.1236856 852.8308966 1024.136627 0.1052228761 171.304968 349.6537518 2.913029875 -1017.979724
0.215 209.1534765 11.7587649 456.8393791 456.8393791 853.3806089 1027.498797 0.1079214914 174.1174386 352.0524053 2.915156777 -1023.065767
0.22 214.2995005 12.50306587 449.711088 449.711088 854.0328293 1030.920756 0.1105824095 176.8871889 354.4075257 2.916748671 -1028.448615
0.225 219.4627835 13.27774915 442.7371809 442.7371809 854.7868171 1034.402367 0.1132044759 179.6148235 356.7211071 2.917741252 -1034.10757
0.23 224.6436232 14.08334688 435.9159568 435.9159568 855.6416793 1037.943348 0.1157866706 182.3009524 358.9950289 2.918080775 -1040.02339
0.235 229.8423152 14.92035284 429.2456413 429.2456413 856.5963707 1041.543268 0.1183281042 184.9461918 361.2310639 2.917723732 -1046.178135
0.24 235.0591531 15.78921993 422.7243852 422.7243852 857.6496941 1045.201554 0.1208280148 187.5511642 363.4308846 2.916636425 -1052.555032
0.245 240.2944269 16.69035805 416.3502631 416.3502631 858.8003036 1048.917489 0.1232857638 190.1164992 365.5960695 2.914794455 -1059.13836
0.25 245.5484227 17.6241324 410.121274 410.121274 860.0467092 1052.69022 0.1257008319 192.6428334 367.7281088 2.912182149 -1065.913347
0.255 250.8214221 18.59086227 404.0353422 404.0353422 861.3872826 1056.518762 0.1280728149 195.1308106 369.8284096 2.908791933 -1072.866082
0.26 256.1137015 19.59082019 398.0903194 398.0903194 862.8202641 1060.402006 0.1304014187 197.5810816 371.8983006 2.904623657 -1079.983445
0.265 261.4255313 20.62423154 392.2839882 392.2839882 864.3437714 1064.338728 0.1326864553 199.9943035 373.9390364 2.899683909 -1087.253032
0.27 266.7571757 21.69127452 386.6140651 386.6140651 865.9558084 1068.327593 0.1349278368 202.3711397 375.951802 2.893985301 -1094.663105
0.275 272.1088918 22.79208053 381.0782057 381.0782057 867.654275 1072.367172 0.1371255709 204.7122592 377.9377164 2.887545769 -1102.202542
0.28 277.4809294 23.92673487 375.6740094 375.6740094 869.4369777 1076.455944 0.1392797551 207.0183354 379.8978364 2.880387874 -1109.860793
0.285 282.8735305 25.09527778 370.3990246 370.3990246 871.3016401 1080.59231 0.1413905713 209.290046 381.8331598 2.87253812 -1117.627841
0.29 288.286929 26.29770572 365.2507553 365.2507553 873.2459142 1084.774603 0.1434582799 211.5280712 383.744629 2.864026313 -1125.494177
0.295 293.7213502 27.53397297 360.2266665 360.2266665 875.2673912 1089.001096 0.1454832144 213.7330935 385.6331338 2.854884937 -1133.450765
0.3 299.1770107 28.80399338 355.3241912 355.3241912 877.3636127 1093.270014 0.1474657754 215.9057962 387.4995145 2.845148577 -1141.489021
